ID,Title,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
533,An Explanation of Fitts' Law-like Performance in Gaze-Based Selection Tasks Using a Psychophysics Approach, Immo Schuetz, T. Scott Murdison, Kevin J. MacKenzie, Marina Zannoli (Facebook),,,,,,,,,,
534,MultiTrack: Multi-User Tracking and Activity Recognition Using Commodity WiFi, Sheng Tan, Linghan Zhang, Zi Wang, Jie Yang (Florida State University),,,,,,,,,,
535,What is Mixed Reality?, Maximilian Speicher (University of Michigan), Brian D. Hall, Michael Nebeling (University of Michigan),,,,,,,,,,,
536,Machine Heuristic: When We Trust Computers More than Humans with Our Personal Information, S. Shyam Sundar, Jinyoung Kim (The Pennsylvania State University),,,,,,,,,,,,
537,Critter: Augmenting Creative Work with Dynamic Checklists Automated Quality Assurance and Contextual Reviewer Feedback, Aditya Bharadwaj (Virginia Tech), Pao Siangliulue, Adam Marcus (B12), Kurt Luther (Virginia Tech),,,,,,,,,,
538,Do People Consume the News they Trust?: Incidental News Usage and the High-Choice Media Environment, Harsh Taneja (University of Illinois Urbana-Champaign), Katie Yaeger (University of Missouri),,,,,,,,,,,,
539,Saliency Deficit and Motion Outlier Detection in Animated Scatterplots, Rafael Veras, Christopher Collins (University of Ontario Institute of Technology),,,,,,,,,,,,
540,Understanding Affective Experiences with Conversational Agents, Xi Yang, Marco Aurisicchio, Weston Baxter (Imperial College London),,,,,,,,,,,
541,Rehumanized Crowdsourcing: A Labeling Framework Addressing Bias and Ethics in Machine Learning, Nata M. Barbosa (Syracuse University & Figure Eight Inc.), Monchu Chen (Figure Eight Inc.),,,,,,,,,,,,
542,What Can We Learn from Augmented Reality (AR)?: Benefits and Drawbacks of AR for Inquiry-based Learning of Physics, Iulian Radu, Bertrand Schneider (Harvard University),,,,,,,,,,,,
543,Serpentine: A Self-Powered Reversibly Deformable Cord Sensor for Human Input, Fereshteh Shahmiri, Chaoyu Chen, Anandghan Waghmare, Dingtian Zhang, Shivan Mittal, Steven L. Zhang (Georgia Institute of Technology), Yi-Cheng Wang (University of Illinois at Urbana-Champaign), Zhong Lin Wang, Thad E. Starner, Gregory D. Abowd (Georgia Institute of Technology),,,,
544,VRsneaky: Increasing Presence in VR Through Gait-Aware Auditory Feedback, Matthias Hopp, Jakob Karolus, Felix Dietz (Ludwig Maximilian University of Munich), Paweł W. Woźniak (Utrecht University), Albrecht Schmidt, Tonja Machulla (Ludwig Maximilian University of Munich),,,,,,,,
545,Comparing the Effects of Paper and Digital Checklists on Team Performance in Time-Critical Work, Leah Kulp, Aleksandra Sarcevic (Drexel University), Megan Cheng, Yinan Zheng, Randall S. Burd (Children's National Medical Center),,,,,,,,,
546,Enabling Identification and Behavioral Sensing in Homes using Radio Reflections, Chen-Yu Hsu, Rumen Hristov, Guang-He Lee, Mingmin Zhao, Dina Katabi (Massachusetts Institute of Technology),,,,,,,,,
547,I (Don't) See What You Typed There! Shoulder-surfing Resistant Password Entry on Gamepads, Peter Mayer, Nina Gerber, Benjamin Reinheimer (Karlsruhe Institute of Technology), Philipp Rack, Kristoffer Braun (Technische Universitat Darmstadt), Melanie Volkamer (Karlsruhe Institute of Technology),,,,,,,,
548,NVGaze: An Anatomically-Informed Dataset for Low-Latency Near-Eye Gaze Estimation, Joohwan Kim, Michael Stengel, Alexander Majercik, Shalini De Mello (NVIDIA), David Dunn (University of North Carolina - Chapel Hill), Samuli Laine, Morgan McGuire, David Luebke (NVIDIA),,,,,,
549,Transforming Game Difficulty Curves using Function Composition, Anurag Sarkar, Seth Cooper (Northeastern University),,,,,,,,,,,,
550,How Users Interpret Bugs in Trigger-Action Programming, Will Brackenbury, Abhimanyu Deora, Jillian Ritchey, Jason Vallee, Weijia He (University of Chicago), Guan Wang, Michael L. Littman (Brown University), Blase Ur (University of Chicago),,,,,,
551,Evaluating Expert Curation in a Baby Milestone Tracking App, Ayelet Ben-Sasson (University of Haifa), Eli Ben-Sasson, Kayla Jacobs, Elisheva Rotman Argaman, Eden Saig (Technion),,,,,,,,,
552,Pose-Guided Level Design, Yongqi Zhang, Biao Xie, Haikun Huang, Elisa Ogawa, Tongjian You (University of Massachusetts), Lap-Fai Yu (George Mason University),,,,,,,,
553,Improving Early Navigation in Time-Lapse Video with Spread-Frame Loading, Carl Gutwin, Michael van der Kamp, Md. Sami Uddin, Kevin Stanley, Ian Stavness (University of Saskatchewan), Sally Vail (Agriculture and Agri-Food Canada),,,,,,,,
554,Evaluating Pan and Zoom Timelines and Sliders, Michail Schwab, Sicheng Hao, Olga Vitek (Northeastern University), James Tompkin, Jeff Huang (Brown University), Michelle A. Borkin (Northeastern University),,,,,,,,
555,Investigating Implicit Gender Bias and Embodiment of White Males in Virtual Reality with Full Body Visuomotor Synchrony, Sarah Lopez, Yi Yang, Kevin Beltran, Soo Jung Kim, Jennifer Cruz Hernandez, Chelsy Simran, Bingkun Yang, Beste F. Yuksel (University of San Francisco),,,,,,
556,Haptipedia: Accelerating Haptic Device Discovery to Support Interaction & Engineering Design, Hasti Seifi, Farimah Fazlollahi (Max Planck Institute for Intelligent Systems), Michael Oppermann, John Andrew Sastrillo, Jessica Ip, Ashutosh Agrawal (University of British Columbia), Gunhyuk Park, Katherine J. Kuchenbecker (Max Planck Institute for Intelligent Systems), Karon E. MacLean (University of British Columbia),,,,,
557,Explaining Decision-Making Algorithms through UI: Strategies to Help Non-Expert Stakeholders, Hao-Fei Cheng (University of Minnesota), Ruotong Wang (Macalester College), Zheng Zhang (University of Minnesota), Fiona O'Connell (University of Chicago), Terrance Gray, F. Maxwell Harper, Haiyi Zhu (University of Minnesota),,,,,,,
558,Geometrically Compensating Effect of End-to-End Latency in Moving-Target Selection Games, Injung Lee (Korea Advanced Institute of Science and Technology), Sunjun Kim (Aalto University), Byungjoo Lee (Korea Advanced Institute of Science and Technology),,,,,,,,,,,
559,Who Gets to Future? Race Representation and Design Methods in Africatown, Jasper Tran O'Leary (University of Washington), Sara Zewde (Studio Zewde), Jennifer Mankoff, Daniela K. Rosner (University of Washington),,,,,,,,,,
560,Cross-Device Taxonomy: Survey Opportunities and Challenges of Interactions Spanning Across Multiple Devices, Frederik Brudy (University College London), Christian Holz (Microsoft Research), Roman Radle (Aarhus University), Chi-Jui Wu, Steven Houben (Lancaster University), Clemens Nylandsted Klokmose (Aarhus University), Nicolai Marquardt (University College London),,,,,,,
561,The Gendered Geography of Contributions to OpenStreetMap: Complexities in Self-Focus Bias, Maitraye Das, Brent Hecht, Darren Gergle (Northwestern University),,,,,,,,,,,
562,Shaping Pro-Social Interaction in VR: An Emerging Design Framework, Joshua McVeigh-Schultz, Anya Kolesnichenko, Katherine Isbister (University of California Santa Cruz),,,,,,,,,,,
563,Behind the Voices: The Practice and Challenges of Esports Casters, Lucas Kempe-Cook, Stephen Tsung-Han Sher, Norman Makoto Su (Indiana University),,,,,,,,,,,
564,Kyub: A 3D Editor for Modeling Sturdy Laser-Cut Objects, Patrick Baudisch, Arthur Silber, Yannis Kommana, Milan Gruner, Ludwig Wall, Kevin Reuss, Lukas Heilman, Robert Kovacs, Daniel Rechlitz, Thijs Roumen (Hasso Plattner Institute),,,,
565,FiberWire: Embedding Electronic Function into 3D Printed Mechanically Strong Lightweight Carbon Fiber Composite Objects, Saiganesh Swaminathan, Kadri Bugra Ozutemiz, Carmel Majidi, Scott E. Hudson (Carnegie Mellon University),,,,,,,,,,
566,Tool Extension in Human-Computer Interaction, Joanna Bergstrom, Aske Mottelson, Andreea Muresan, Kasper Hornbæk (University of Copenhagen),,,,,,,,,,
567,Participatory Design of VR Scenarios for Exposure Therapy, Eivind Flobak (University of Bergen), Jo D. Wake (University of Bergen), Joakim Vindenes (University of Bergen), Smiti Kahlon (Haukeland University Hospital), Tine Nordgreen (Haukeland University Hospital & University of Bergen), Frode Guribye (University of Bergen & Haukeland University Hospital),,,,,,,,
568,Steering Performance with Error-accepting Delays, Shota Yamanaka (Yahoo Japan Corporation),,,,,,,,,,,,,
569,Card Mapper: Enabling Data-Driven Reflections on Ideation Cards, Dimitrios Darzentas (University of Nottingham), Raphael Velt (Breda University of Applied Sciences), Richard Wetzel (Lucerne University of Applied Sciences and Arts), Peter J. Craigon, Hanne G. Wagner (University of Nottingham), Lachlan D. Urquhart (University of Edinburgh), Steve Benford (University of Nottingham),,,,,,,
570,REsCUE: A framework for REal-time feedback on behavioral CUEs using multimodal anomaly detection, Riku Arakawa (University of Tokyo), Hiromu Yakura (University of Tsukuba),,,,,,,,,,,,
571,Visualizing Uncertainty and Alternatives in Event Sequence Predictions, Shunan Guo (East China Normal University), Fan Du, Sana Malik, Eunyee Koh, Sungchul Kim, Zhicheng Liu, Donghyun Kim (Adobe Research), Hongyuan Zha (East China Normal University), Nan Cao (Tongji University),,,,,
572,Towards Understanding the Design of Positive Pre-sleep Through a Neurofeedback Artistic Experience, Nathan Arthur Semertzidis, Betty Sargeant, Justin Dwyer, Florian Floyd Mueller, Fabio Zambetta (RMIT University),,,,,,,,,
573,MessageOnTap: A Suggestive Interface to Facilitate Messaging-related Tasks, Fanglin Chen (Carnegie Mellon University), Kewei Xia (Wuhan University), Karan Dhabalia, Jason I. Hong (Carnegie Mellon University),,,,,,,,,,
574,HeatCraft: Designing Playful Experiences with Ingestible Sensors via Localized Thermal Stimuli, Zhuying Li, Yan Wang (RMIT University), Wei Wang, Chen (University of Melbourne), Ti Hoang (RMIT University), Stefan Greuter (Deakin University), Florian Floyd Mueller (RMIT University),,,,,,,
575,TalkTraces: Real-Time Capture and Visualization of Verbal Content in Meetings, Senthil Chandrasegaran (University of California Davis), Chris Bryan (Arizona State University), Hidekazu Shidara, Tung-Yen Chuang, Kwan-Liu Ma (University of California Davis),,,,,,,,,
576,DreamGigs: Designing a Tool to Empower Low-Resource Job Seekers, Tawanna R. Dillahunt, Alex Lu (University of Michigan),,,,,,,,,,,,
577,Gamut: A Design Probe to Understand How Data Scientists Understand Machine Learning Models, Fred Hohman (Georgia Institute of Technology), Andrew Head (University of California Berkeley), Rich Caruana, Robert DeLine, Steven M. Drucker (Microsoft Research),,,,,,,,,
578,Guerilla Warfare and the Use of New (and Some Old) Technology: Lessons from FARC's Armed Struggle in Colombia, Debora de Castro Leal, Max Krueger (University of Siegen), Kaoru Misaki (International Institute of Socio-Informatics), David Randall, Volker Wulf (University of Siegen),,,,,,,,,
579,Abstract Machines: Overlaying Virtual Worlds on Physical Rides, Paul Tennent, Joe Marshall, Patrick Brundell, Brendan Walker, Steve Benford (University of Nottingham),,,,,,,,,
580,What's Missing: The Role of Instructional Design in Children's Games-Based Learning, Laura Benton, Asimina Vasalou (University College London), Wolmet Barendregt, Leona Bunting (University of Gothenburg), Andrea Revesz (University College London),,,,,,,,,
581,Impacts of Telemanipulation in Robotic Assisted Surgery, Ignacio Avellino, Gilles Bailly (Sorbonne Universite), Geoffroy Canlorbe (Hopital Pitie Salpetriere & Sorbonne Universite), Jeremie Belgihti (Hopital Pitie Salpetriere), Guillaume Morel, Marie-Aude Vitrani (Sorbonne Universite),,,,,,,,
582,SmartManikin: Virtual Humans with Agency for Design Tools, Bokyung Lee, Taeil Jin, Sung-Hee Lee, Daniel Saakes (Korea Advanced Institute of Science and Technology),,,,,,,,,,
583,TrackCap: Enabling Smartphones for 3D Interaction on Mobile Head-Mounted Displays, Peter Mohr (Graz University of Technology), Markus Tatzgern (Salzburg University of Applied Sciences), Tobias Langlotz (University of Otago), Andreas Lang (Graz University of Technology & Salzburg University of Applied Sciences), Dieter Schmalstieg, Denis Kalkofen (Graz University of Technology),,,,,,,,
584,Continuous Evaluation of Video Lectures from Real-Time Difficulty Self-Report, Namrata Srivastava, Eduardo Velloso (University of Melbourne), Jason M. Lodge (University of Queensland), Sarah Erfani, James Bailey (The University of Melbourne),,,,,,,,,
585,Group Interactions in Location-Based Gaming: A Case Study of Raiding in Pokemon GO, Arpita Bhattacharya, Travis W. Windleharth, Rio Anthony Ishii, Ivy M. Acevedo, Cecilia R. Aragon, Julie A. Kientz, Jason C. Yip, Jin Ha Lee (University of Washington),,,,,,
586,Interstices: Sustained Spatial Relationships between Hands and Surfaces Reveal Anticipated Action, Andrew M. Webb (Inria Universite Paris-Saclay and Texas AM University), Hannah Fowler, Andruid Kerne, Galen Newman (Texas AM University), Jun-Hyun Kim (Michigan State University), Wendy E. Mackay (Inria Universite Paris-Saclay),,,,,,,,
587,Vulnerability & Blame: Making Sense of Unauthorized Access to Smartphones, Diogo Marques, Tiago Guerreiro, Luis Carrico (Universidade de Lisboa), Ivan Beschastnikh, Konstantin Beznosov (University of British Columbia),,,,,,,,,
588,Understanding Online News Behaviors, Frank Bentley, Katie Quehl, Jordan Wirfs-Brock, Melissa Bica (Yahoo),,,,,,,,,,
589,VelociWatch: Designing and Evaluating a Virtual Keyboard for the Input of Challenging Text, Keith Vertanen, Dylan Gaines, Crystal Fletcher, Alex M. Stanage, Robbie Watling (Michigan Technological University), Per Ola Kristensson (University of Cambridge),,,,,,,,
590,Co-Designing Food Trackers with Dietitians: Identifying Design Opportunities for Food Tracker Customization, Yuhan Luo, Peiyi Liu, Eun Kyoung Choe (University of Maryland College Park),,,,,,,,,,,
591,Engaging Low-Income African American Older Adults in Health Discussions through Community-based Design Workshops, Christina N. Harrington, Katya Borgos-Rodriguez, Anne Marie Piper (Northwestern University),,,,,,,,,,,
592,It's My Data! Tensions Among Stakeholders of a Learning Analytics Dashboard, Kaiwen Sun, Abraham H. Mhaidli, Sonakshi Watel, Christopher A. Brooks, Florian Schaub (University of Michigan),,,,,,,,,
593,Automating the Administration and Analysis of Psychiatric Tests: The Case of Attachment in School Age Children, Giorgio Roffo, Dong-Bach Vo, Mohammad Tayarani, Maki Rooksby, Alessandra Sorrentino (University of Glasgow), Simona Di Folco (University of Edinburgh), Helen Minnis, Stephen Brewster, Alessandro Vinciarelli (University of Glasgow),,,,,
594,360proto: Making Interactive Virtual Reality & Augmented Reality Prototypes from Paper, Michael Nebeling, Katy Madier (University of Michigan),,,,,,,,,,,,
595,A Walk on the Child Side: Investigating Parents' and Children's Experience and Perspective on Mobile Technology for Outdoor Child Independent Mobility, Michela Ferron, Chiara Leonardi, Paolo Massa, Gianluca Schiavo, Amy L. Murphy, Elisabetta Farella (Fondazione Bruno Kessler),,,,,,,,
596,Voice Presentation Attack Detection through Text-Converted Voice Command Analysis, Il-Youp Kwak, Jun Ho Huh, Seung Taek Han, Iljoo Kim (Samsung Research), Jiwon Yoon (Korea University),,,,,,,,,
597,"Emotion and Experience in Negotiating HIV-Related Digital Resources: ""It's not just a runny nose!""", Aneesha Singh, Jo Gibbs, Ann Blandford (University College London),,,,,,,,,,,
598,Improving Fairness in Machine Learning Systems: What Do Industry Practitioners Need?, Kenneth Holstein (Carnegie Mellon University), Jennifer Wortman Vaughan (Microsoft Research), Hal Daume (Microsoft Research & University of Maryland), Miro Dudik, Hanna Wallach (Microsoft Research),,,,,,,,,
599,Designing Theory-Driven User-Centric Explainable AI, Danding Wang (National University of Singapore), Qian Yang (Carnegie Mellon University), Ashraf Abdul, Brian Y. Lim (National University of Singapore),,,,,,,,,,
600,Emotion Work in Experience-Centered Design, Madeline Balaam, Rob Comber (KTH Royal Institute of Technology), Rachel E. Clarke (Northumbria University), Charles Windlin (KTH Royal Institute of Technology), Anna Stahl (RISE, Research Institutes of Sweden), Kristina Hook (KTH Royal Institute of Technology), Geraldine Fitzpatrick (Technische Universitat Wien),,,,,,
601,Voice as a Design Material: Sociophonetic Inspired Design Strategies in Human-Computer Interaction, Selina Jeanne Sutton (Northumbria University), Paul Foulkes (University of York), David Kirk, Shaun Lawson (Northumbria University),,,,,,,,,,
602,A Promise Is A Promise: The Effect of Commitment Devices on Computer Security Intentions, Alisa Frik (International Computer Science Institute & University of California Berkeley), Nathan Malkin (University of California Berkeley), Marian Harbach (International Computer Science Institute), Eyal Peer (Hebrew University of Jerusalem), Serge Egelman (University of California Berkeley),,,,,,,,,
603,Security – Visible Yet Unseen?: How Displaying Security Mechanisms Impacts User Experience and Perceived Security, Verena Distler, Marie-Laure Zollinger, Carine Lallemand, Peter B. Roenne, Peter Y. A. Ryan, Vincent Koenig (University of Luxembourg),,,,,,,,
604,Designing User Interface Elements to Improve the Quality and Civility of Discourse in Online Commenting Behaviors, Joseph Seering, Tianmi Fang, Luca Damasco, Mianhong 'Cherie' Chen, Likang Sun, Geoff Kaufman (Carnegie Mellon University),,,,,,,,
605,"The ""Comadre"" Project: An Asset-Based Design Approach to Connecting Low-Income Latinx Families to Out-of-School Learning Opportunities", Alexander Cho, Roxana G. Herrera, Luis Chaidez, Adilene Uriostegui (University of California Irvine),,,,,,,,,,
606,Warping Deixis: Distorting Gestures to Enhance Collaboration, Mauricio Sousa, Rafael Kufner dos Anjos, Daniel Mendes (University of Lisbon), Mark Billinghurst (University of South Australia), Joaquim Jorge (University of Lisbon),,,,,,,,,
607,The Mental Image Revealed by Gaze Tracking, Xi Wang, Andreas Ley, Sebastian Koch (Technische Universitat Berlin), David Lindlbauer (Technische Universitat Berlin), James Hays (Georgia Institute of Technology), Kenneth Holmqvist (Universitat Regensburg), Marc Alexa (Technische Universitat Berlin),,,,,,,
608,Care and Design: An Ethnography of Mutual Recognition in the Context of Advanced Dementia, Sarah Foley, Nadia Pantidi, John McCarthy (University College Cork),,,,,,,,,,,
609,Communication Cost of Single-user Gesturing Tool in Laparoscopic Surgical Training, Yuanyuan Feng (University of Maryland), Katie Li (Pomona College), Azin Semsar, Hannah McGowan (University of Maryland), Jacqueline Mun (Vassar College), H. Reza Zahiri (Anne Arundel Medical Center), Ivan George (Johns Hopkins University), Adrian Park (Anne Arundel Medical Center), Andrea Kleinsmith, Helena M. Mentis (University of Maryland),,,,
610,Resolving Target Ambiguity in 3D Gaze Interaction through VOR Depth Estimation, Diako Mardanbegi (Lancaster University), Tobias Langlotz (University of Otago), Hans Gellersen (Lancaster University),,,,,,,,,,,
611,Slow Robots for Unobtrusive Posture Correction, Joon-Gi Shin (Korea Advanced Institute of Science and Technology), Eiji Onchi (University of Tsukuba), Maria Jose Reyes (Korea Advanced Institute of Science and Technology), Junbong Song (teamVoid), Uichin Lee (Korea Advanced Institute of Science and Technology), Seung-Hee Lee (University of Tsukuba), Daniel Saakes (Korea Advanced Institute of Science and Technology),,,,,,,
612,Understanding Digitally-Mediated Empathy: An Exploration of Visual Narrative and Biosensory Informational Cues, Max T. Curran, Jeremy Raboff Gordon, Lily Lin (University of California Berkeley), Priyashri Kamlesh Sridhar (Singapore University of Technology and Design), John Chuang (University of California Berkeley),,,,,,,,,
613,Understanding Personal Productivity: How Knowledge Workers Define Evaluate and Reflect on Their Productivity, Young-Ho Kim (Seoul National University), Eun Kyoung Choe (University of Maryland College Park), Bongshin Lee (Microsoft Research), Jinwook Seo (Seoul National University),,,,,,,,,,
614,Vistribute: Distributing Interactive Visualizations in Dynamic Multi-Device Setups, Tom Horak (Technische Universitat Dresden), Andreas Mathisen, Clemens N. Klokmose (Aarhus University), Raimund Dachselt (Technische Universitat Dresden), Niklas Elmqvist (University of Maryland College Park),,,,,,,,,
615,Dancing With Drones: Crafting Novel Artistic Expressions Through Intercorporeality, Sara Eriksson (KTH Royal Institute of Technology), asa Unander-Scharin (Lulea University of Technology), Vincent Trichon (KTH Royal Institute of Technology), Carl Unander-Scharin (Karlstad University), Hedvig Kjellstrom (KTH Royal Institute of Technology), Kristina Hook (KTH Royal Institute of Technology),,,,,,,,
616,Crossing-Based Selection with Virtual Reality Head-Mounted Displays, Huawei Tu, Susu Huang, Jiabin Yuan (Nanjing University of Aeronautics and Astronautics), Xiangshi Ren (Kochi University of Technology), Feng Tian (Institute of Software Chinese Academy of Sciences),,,,,,,,,
617,ARPen: Mid-Air Object Manipulation Techniques for a Bimanual AR System with Pen & Smartphone, Philipp Wacker, Oliver Nowak, Simon Voelker, Jan Borchers (RWTH Aachen University),,,,,,,,,,
618,NaviBike: Comparing Unimodal Navigation Cues for Child Cyclists, Andrii Matviienko (OFFIS - Institute for Information Technology), Swamy Ananthanarayan (University of Oldenburg), Abdallah El Ali (Centrum Wiskunde & Informatica), Wilko Heuten (OFFIS - Institute for Information Technology), Susanne Boll (University of Oldenburg),,,,,,,,,
619,Audible Panorama: Automatic Spatial Audio Generation for Panorama Imagery, Haikun Huang, Michael Solah (University of Massachusetts), Dingzeyu Li (Adobe Research & Columbia University), Lap-Fai Yu (George Mason University),,,,,,,,,,
620,Interactive Body-Driven Graphics for Augmented Video Performance, Nazmus Saquib (Massachusetts Institute of Technology), Rubaiat Habib Kazi, Li-Yi Wei (Adobe Research), Wilmot Li (Adobe Research),,,,,,,,,,
621,Augmenting Couples' Communication with Lifelines: Shared Timelines of Mixed Contextual Information, Carla F. Griggio (University Paris-Sud), Midas Nouwens (Aarhus University & University Paris-Sud), Joanna McGrenere (University of British Columbia & University Paris-Sud), Wendy E. Mackay (University Paris-Sud),,,,,,,,,,
622,Friend Collaborator Student Manager: How Design of an AI-Driven Game Level Editor Affects Creators, Matthew Guzdial, Nicholas Liao, Jonathan Chen, Shao-Yu Chen, Shukan Shah, Vishwa Shah, Joshua Reno (Georgia Institute of Technology), Gillian Smith (Worcester Polytechnic Institute), Mark O. Riedl (Georgia Institute of Technology),,,,,
623,A Design Space for Gaze Interaction on Head-mounted Displays, Teresa Hirzle, Jan Gugenheimer, Florian Geiselhart (Ulm University), Andreas Bulling (University of Stuttgart), Enrico Rukzio (University of Ulm),,,,,,,,,
624,The Heat is On: Exploring User Behaviour in a Multisensory Virtual Environment for Fire Evacuation, Emily Shaw, Tessa Roper, Tommy Nilsson, Glyn Lawson, Sue V.G. Cobb, Daniel Miller (University of Nottingham),,,,,,,,
625,"Transformation through Provocation?: Designing a ""Bot of Conviction"" to Challenge Conceptions and Evoke Critical Reflection", Maria Roussou (National and Kapodistrian University of Athens), Sara Perry (University of York), Akrivi Katifori (Athena Research & Innovation Center), Stavros Vassos (Helvia Technologies), Angeliki Tzouganatou (University of Hamburg), Sierra McKinney (University of York),,,,,,,,
626,FoldTronics: Creating 3D Objects with Integrated Electronics Using Foldable Honeycomb Structures, Junichi Yamaoka (The University of Tokyo & Massachusetts Institute of Technology), Mustafa Doga Dogan, Katarina Bulovic (Massachusetts Institute of Technology), Kazuya Saito, Yoshihiro Kawahara, Yasuaki Kakehi (The University of Tokyo), Stefanie Mueller (Massachusetts Institute of Technology),,,,,,,
627,An Exploration of Bitcoin Mining Practices: Miners' Trust Challenges and Motivations, Irni Eliana Khairuddin (Universiti Teknologi MARA), Corina Sas (Lancaster University),,,,,,,,,,,,
628,JourneyCam: Exploring Experiences of Accessibility and Mobility among Powered Wheelchair Users through Video and Data, Sunil Rodger, Dan Jackson (Newcastle University), John Vines (Northumbria University), Janice McLaughlin, Peter Wright (Newcastle University),,,,,,,,,
629,Let's Play Together: Adaptation Guidelines of Board Games for Players with Visual Impairment, Frederico da Rocha Tome Filho (University of Ontario Institute of Technology), Pejman Mirza-Babaei (University of Ontario Institute of Technology), Bill Kapralos (University of Ontario Institute of Technology), Glaudiney Moreira Mendonca Junior (Federal University of Ceara),,,,,,,,,,
630,ElectroDermis: Fully Untethered Stretchable and Highly-Customizable Electronic Bandages, Eric Markvicka, Guanyun Wang, Yi-Chin Lee, Gierad Laput, Carmel Majidi, Lining Yao (Carnegie Mellon University),,,,,,,,
631,May AI? Design Ideation with Cooperative Contextual Bandits, Janin Koch, Andres Lucero, Lena Hegemann, Antti Oulasvirta (Aalto University),,,,,,,,,,
632,PeerLens: Peer-inspired Interactive Learning Path Planning in Online Question Pool, Meng Xia, Mingfei Sun, Huan Wei, Qing Chen, Yong Wang (Hong Kong University of Science and Technology), Lei Shi (Beihang University), Huamin Qu, Xiaojuan Ma (Hong Kong University of Science and Technology),,,,,,
633,Electronic Health Records Are More Than a Work Tool: Conflicting Needs of Direct and Indirect Stakeholders, asa Cajander (Uppsala University), Christiane Grunloh (KTH Royal Institute of Technology),,,,,,,,,,,,
634,Text Entry Throughput: Towards Unifying Speed and Accuracy in a Single Performance Metric, Mingrui Ray Zhang (University of Washington), Shumin Zhai (Google), Jacob O. Wobbrock (University of Washington),,,,,,,,,,,
635,Is Now A Good Time? An Empirical Study of Vehicle-Driver Communication Timing, Rob Semmens (Naval Postgraduate School), Nikolas Martelaro (Accenture Technology Labs), Pushyami Kaveti (Northeastern University), Simon Stent (Toyota Research Institute), Wendy Ju (Cornell Tech),,,,,,,,,
636,A 2nd Person Social Perspective on Bodily Play, Florian Floyd Mueller, Zhuying Li, Richard Byrne, Yash Dhanpal Mehta, Peter Arnold, Tuomas Kari (RMIT University),,,,,,,,
637,Tracking the Consumption of Home Essentials, Carolina Fuentes, Martin Porcheron, Joel E. Fischer (University of Nottingham), Enrico Costanza (University College London), Obaid Malilk, Sarvapali D. Ramchurn (University of Southampton),,,,,,,,
638,Peripheral Notifications in Large Displays: Effects of Feature Combination and Task Interference, Aristides Mairena, Carl Gutwin (University of Saskatchewan), Andy Cockburn (University of Canterbury),,,,,,,,,,,
639,Pulp Friction: Exploring the Finger Pad Periphery for Subtle Haptic Feedback, Alix Goguey, Deepak Ranjan Sahoo, Simon Robinson, Jennifer Pearson, Matt Jones (Swansea University),,,,,,,,,
640,Development of a Checklist for the Prevention of Intradialytic Hypotension in Hemodialysis Care: Design Considerations Based on Activity Theory, Pei-Yi Kuo (University of Michigan & National Tsing Hua University), Rajiv Saran (University of Michigan), Marissa Argentina (National Kidney Foundation), Michael Heung , Jennifer L. Bragg-Gresham (University of Michigan), Dinesh Chatoth (Fresenius Medical Care North America), Brenda Gillespie (University of Michigan), Sarah Krein (University of Michigan), Rebecca Wingard (Fresenius Medical Care North America), Kai Zheng (University of California Irvine), Tiffany C. Veinot (University of Michigan),,,
641,Preemptive Action: Accelerating Human Reaction using Electrical Muscle Stimulation Without Compromising Agency, Shunichi Kasahara (University of Tokyo), Jun Nishida, Pedro Lopes (University of Chicago),,,,,,,,,,,
642,An Exploratory Study on Visual Exploration of Model Simulations by Multiple Types of Experts, Nadia Boukhelifa (University Paris-Sud), Anastasia Bezerianos (University Paris-Sud), Ioan Cristian Trelea, Nathalie Mejean Perrot (University Paris-Sud), Evelyne Lutton (University Paris-Sud),,,,,,,,,
643,Protection Productivity and Pleasure in the Smart Home: Emerging Expectations and Gendered Insights from Australian Early Adopters, Yolande Strengers (Monash University), Jenny Kennedy, Paula Arcari, Larissa Nicholls (RMIT University), Melissa Gregg (Intel Corporation),,,,,,,,,
644,Keeping Rumors in Proportion: Managing Uncertainty in Rumor Systems, Peter M. Krafft, Emma S. Spiro (University of Washington),,,,,,,,,,,,
645,Understanding Metamaterial Mechanisms, Alexandra Ion (University of Potsdam), David Lindlbauer (Technische Universitat Berlin & ETH Zurich), Philipp Herholz, Marc Alexa (Technische Universitat Berlin), Patrick Baudisch (University of Potsdam),,,,,,,,,
646,Understanding Life Transitions: A Case Study of Support Needs of Low-Income Mothers, Annu Sible Prabhakar (Indiana University), Erik Stolterman, Selma Sabanovic (Indiana University),,,,,,,,,,,
647,Online Grocery Delivery Services: An Opportunity to Address Food Disparities in Transportation-scarce Areas, Tawanna R. Dillahunt, Sylvia Simioni, Xuecong Xu (University of Michigan),,,,,,,,,,,
648,Co-Created Personas: Engaging and Empowering Users with Diverse Needs Within the Design Process, Timothy Neate, Aikaterini Bourazeri, Abi Roper, Simone Stumpf, Stephanie Wilson (University of London),,,,,,,,,
649,Notjustgirl: Exploring Male-related Eating Disordered Content across Social Media Platforms, Jessica A. Pater (Georgia Institute of Technology), Lauren E. Reining (Parkview Research Center), Andrew D. Miller (Indiana University & Purdue University), Tammy Toscos (Parkview Research Center), Elizabeth D. Mynatt (Georgia Institute of Technology),,,,,,,,,
