ID,Title,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
251,Comparing Effectiveness and Engagement of Data Comics and Infographics, Zezhong Wang (University of Edinburgh), Shunming Wang (Peking University & University of Edinburgh), Matteo Farinella (Columbia University), Dave Murray-Rust (University of Edinburgh), Nathalie Henry Riche (Microsoft Research), Benjamin Bach (Edinburgh University),,,,,,,,
252,Resilient Chatbots: Repair Strategy Preferences for Conversational Breakdowns, Zahra Ashktorab, Mohit Jain, Q. Vera Liao, Justin D. Weisz (IBM Research),,,,,,,,,,
253,Crowdlicit: A System for Conducting Distributed End-User Elicitation and Identification Studies, Abdullah X. Ali (University of Washington), Meredith Ringel Morris (Microsoft Research), Jacob O. Wobbrock (University of Washington),,,,,,,,,,,
254,Thinking Too Classically: Research Topics in Human-Quantum Computer Interaction, Zahra Ashktorab, Justin D. Weisz, Maryam Ashoori (IBM Research),,,,,,,,,,,
255,Predicting Cognitive Load in Future Code Puzzles, Caitlin Kelleher, Wint Hnin (Washington University in St. Louis),,,,,,,,,,,,
256,Hey Google Can I Ask You Something in Private?: The Effects of Modality and Device in Sensitive Health Information Acquisition from Voice Assistants, Eugene Cho (Pennsylvania State University),,,,,,,,,,,,,
257,Influencers in Multiplayer Online Shooters: Evidence of Social Contagion in Playtime and Social Play, Alessandro Canossa, Ahmad Azadvar (Ubisoft Massive Entertainment), Casper Harteveld (Northeastern University), Anders Drachen, Sebastian Deterding (University of York),,,,,,,,,
258,Digital Financial Needs of Micro-entrepreneur Women in Pakistan: Is Mobile Money The Answer?, Maryam Mustafa, Noor Mazhar, Ayesha Asghar, Maryem Zafar Usmani, Lubna Razaq (Information Technology University), Richard Anderson (University of Washington),,,,,,,,
259,Understanding Mass-Market Mobile TV Behaviors in the Streaming Era, Frank Bentley, Danielle Lottridge (Yahoo & Oath),,,,,,,,,,,,
260,"Bringing Design to the Privacy Table: Broadening ""Design"" in ""Privacy by Design"" Through the Lens of HCI", Richmond Y. Wong, Deirdre K. Mulligan (University of California Berkeley),,,,,,,,,,,,
261,Practitioners Teaching Data Science in Industry and Academia: Expectations Workflows and Challenges, Sean Kross, Philip J. Guo (University of California San Diego),,,,,,,,,,,,
262,An Exploration of Speech-Based Productivity Support in the Car, Nikolas Martelaro (Accenture Technology Labs), Jaime Teevan, Shamsi T. Iqbal (Microsoft Research),,,,,,,,,,,
263,Everyday Experiences: Small Stories and Mental Illness on Instagram, Jessica L. Feuston, Anne Marie Piper (Northwestern University),,,,,,,,,,,,
264,Blockchain Assemblages: Whiteboxing Technology and Transforming Infrastructural Imaginaries, Karim Jabbar, Pernille Bjorn (University of Copenhagen),,,,,,,,,,,,
265,Risk vs. Restriction: The Tension between Providing a Sense of Normalcy and Keeping Foster Teens Safe Online, Karla Badillo-Urquiola (University of Central Florida), Xinru Page (Bentley University), Pamela J. Wisniewski (University of Central Florida),,,,,,,,,,,
266,Who's In Control?: Interactions In Multi-User Smart Homes, Christine Geeng, Franziska Roesner (University of Washington),,,,,,,,,,,,
267,GameViews: Understanding and Supporting Data-driven Sports Storytelling, Qiyu Zhi, Suwen Lin, Poorna Talkad Sukumar, Ronald Metoyer (University of Notre Dame),,,,,,,,,,
268,Managing Messes in Computational Notebooks, Andrew Head (University of California Berkeley), Fred Hohman (Georgia Institute of Technology), Titus Barik (Microsoft), Steven M. Drucker, Robert DeLine (Microsoft Research),,,,,,,,,
269,Nurturing Constructive Disagreement - Agonistic Design with Neurodiverse Children, Christopher Frauenberger, Katta Spiel, Laura Scheepmaker, Irene Posch (TU Wien),,,,,,,,,,
270,An Exploratory Study of the Use of Drones for Assisting Firefighters During Emergency Situations, Md. Nafiz Hasan Khan, Carman Neustaedter (Simon Fraser University),,,,,,,,,,,,
